Notice: it is a crossflow
tfa_in(c), tfa_out(c), humidfa_in(kg/kg), humidfa_out(kg/kg), rhfa_in, rhfa_out, Pvapfa_in(pa), Pvapfa_out(pa),	tpf_in(c), tpf_out(c), humidpf_in(kg / kg), humidpf_out(kg / kg), rhpf_in, rhpf_out, Pvappf_in(pa), Pvappf_out(pa)
35, 28.7351, 0.0211578, 0.0141326, 0.59, 0.568087, 3297.57, 2227.2, 27, 33.2652, 0.0121019, 0.0190648, 0.54, 0.587448, 1913.34, 2981.15
tfa(c)_MAP
D/L_index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
0, 33.102, 33.5606, 33.9075, 34.1701, 34.3692, 34.5202, 34.6349, 34.7221, 34.7884, 34.8388, 34.8773, 34.9065, 34.9288, 34.9457, 34.9587, 34.9685, 34.976, 34.9817, 34.9861, 34.9894, 34.9919
1, 31.6492, 32.3491, 32.9052, 33.3463, 33.6956, 33.9721, 34.1906, 34.3632, 34.4994, 34.6067, 34.6913, 34.7579, 34.8103, 34.8514, 34.8837, 34.909, 34.9289, 34.9445, 34.9566, 34.9662, 34.9736
2, 30.5396, 31.3397, 32.006, 32.558, 33.0133, 33.3874, 33.6939, 33.9441, 34.148, 34.3136, 34.4479, 34.5566, 34.6445, 34.7153, 34.7723, 34.8181, 34.8548, 34.8843, 34.9079, 34.9267, 34.9418
3, 29.6933, 30.5057, 31.2133, 31.8238, 32.3467, 32.7914, 33.1675, 33.484, 33.7493, 33.9707, 34.1548, 34.3075, 34.4337, 34.5379, 34.6235, 34.6938, 34.7514, 34.7984, 34.8368, 34.8681, 34.8935
4, 29.0485, 29.8213, 30.524, 31.154, 31.7126, 32.2031, 32.6304, 33, 33.3177, 33.5894, 33.8207, 34.0167, 34.1822, 34.3214, 34.4382, 34.5358, 34.6173, 34.685, 34.7412, 34.7877, 34.8262
5, 28.5575, 29.263, 29.9314, 30.5528, 31.122, 31.6368, 32.0977, 32.5065, 32.8665, 33.1812, 33.4548, 33.6914, 33.895, 34.0695, 34.2185, 34.3452, 34.4526, 34.5433, 34.6198, 34.6841, 34.7381
6, 28.1839, 28.8099, 29.4267, 30.0203, 30.5808, 31.1022, 31.5809, 32.0158, 32.4072, 32.7566, 33.0664, 33.3393, 33.5784, 33.7868, 33.9676, 34.1239, 34.2583, 34.3737, 34.4723, 34.5564, 34.6278
7, 27.8997, 28.4436, 29.0003, 29.5538, 30.0918, 30.6055, 31.0886, 31.5373, 31.9496, 32.325, 32.664, 32.9679, 33.2386, 33.4783, 33.6896, 33.8748, 34.0366, 34.1772, 34.2991, 34.4043, 34.4949
8, 27.6836, 28.1487, 28.6425, 29.1489, 29.655, 30.1502, 30.6266, 31.0785, 31.502, 31.8947, 32.2555, 32.5844, 32.8821, 33.1497, 33.389, 33.6017, 33.7899, 33.9558, 34.1013, 34.2285, 34.3393
9, 27.5193, 27.912, 28.3439, 28.8004, 29.2685, 29.7375, 30.1986, 30.6447, 31.0706, 31.4725, 31.848, 32.1957, 32.5151, 32.8065, 33.0705, 33.3084, 33.5217, 33.7119, 33.8808, 34.0302, 34.1618
10, 27.3945, 27.7227, 28.0962, 28.5024, 28.9295, 29.3671, 29.8063, 30.2394, 30.6603, 31.0641, 31.4474, 31.8077, 32.1435, 32.454, 32.7391, 32.9993, 33.2354, 33.4485, 33.6398, 33.811, 33.9633
11, 27.2996, 27.5717, 27.8916, 28.2491, 28.6343, 29.0376, 29.4503, 29.8647, 30.2744, 30.6738, 31.0587, 31.4257, 31.7724, 32.0973, 32.3995, 32.6786, 32.9348, 33.1687, 33.3811, 33.573, 33.7457
12, 27.2275, 27.4514, 27.7232, 28.0352, 28.379, 28.7466, 29.1299, 29.5215, 29.915, 30.3047, 30.6856, 31.0539, 31.4066, 31.7412, 32.0561, 32.3505, 32.6238, 32.876, 33.1075, 33.3188, 33.5109
13, 27.1728, 27.3559, 27.5852, 27.8552, 28.1595, 28.4913, 28.8436, 29.2098, 29.5835, 29.959, 30.3313, 30.6961, 31.0498, 31.3896, 31.7132, 32.019, 32.3061, 32.5739, 32.8221, 33.051, 33.2611
14, 27.1312, 27.2802, 27.4725, 27.7045, 27.9718, 28.2688, 28.5897, 28.9287, 29.2799, 29.638, 29.9977, 30.3548, 30.7054, 31.0461, 31.3743, 31.6879, 31.9854, 32.2657, 32.5281, 32.7725, 32.9988
15, 27.0996, 27.2203, 27.3807, 27.5789, 27.8119, 28.0758, 28.3658, 28.6769, 29.004, 29.3421, 29.6863, 30.0323, 30.3759, 30.7137, 31.0427, 31.3605, 31.665, 31.9547, 32.2286, 32.486, 32.7265
16, 27.0756, 27.173, 27.3061, 27.4745, 27.6765, 27.9093, 28.1694, 28.4528, 28.7549, 29.0714, 29.3978, 29.7297, 30.0632, 30.3948, 30.7212, 31.0396, 31.3479, 31.644, 31.9266, 32.1945, 32.4471
17, 27.0574, 27.1357, 27.2457, 27.388, 27.5621, 27.7663, 27.9981, 28.2543, 28.5314, 28.8253, 29.1321, 29.4479, 29.7688, 30.0912, 30.4119, 30.728, 31.0368, 31.3363, 31.6247, 31.9006, 32.1629
18, 27.0436, 27.1064, 27.1969, 27.3166, 27.4659, 27.644, 27.8493, 28.0795, 28.3318, 28.6028, 28.8892, 29.1872, 29.4934, 29.8043, 30.1167, 30.4275, 30.7341, 31.0342, 31.3257, 31.6069, 31.8765
